Colorado_Springs,Maryland_Baltimore,NewMexico_Roswell,LosAngeles
63,65.2,74.2,67.9
50.8,55.9,63.8,65.2
41,50.7,51.5,60.6
31.6,42.1,41.1,55.6
30,39.1,43.2,55.4
31.8,39.3,44,58.9
35.3,45,50.3,58
50.4,56.7,65.6,58.9
56.3,62.2,72,61.8
70.8,73.8,81.1,65.7
73.9,78.6,80.7,68.4
70,78.4,81.7,67.6
62.3,69.5,73.6,67.6
44.8,56,58.8,62.8
37.2,44.4,48.1,63.7
31.8,34.2,40.8,56.3
35.8,28.3,43.9,62.1
26.8,30.1,46.8,58
40.4,43.9,55,59.2
49.8,52.7,63.6,58.3
56.9,59.3,72.4,61.1
61.4,69.8,77,65.1
75.8,75.6,82.5,71.5
71.1,76.3,80.3,71
58.3,68,73.6,67.8
53.9,55.1,65,67.4
37.1,50.6,52,59.6
33.4,36.4,42.1,56.8
30.7,27.6,43.6,56.8
30.2,34.8,42.4,55.6
44.7,45.6,56.8,61
46.3,54.7,59.9,62.1
59.2,69.8,71.9,66.7
62.7,70.9,77.7,66.8
67.3,76.2,79.1,69.3
64.4,74.2,76.6,69.3
61,69.4,71.2,72.5
50.8,55.4,61.1,63.7
35.9,48.5,47,58.9
32.7,37.5,39.8,57.3
33.4,34.1,45,57.4
35.1,36.7,46.3,58.2
37.9,40.6,50.6,58.6
46.6,55.2,58.7,59.9
56.4,59.2,68.9,63.9
65.4,73.6,80,64.9
73.3,77.9,82.1,68.6
67.6,77.6,77.7,69.6
64.5,72,75.6,67.6
50.4,57.8,61.3,65
41.3,48.1,51.7,63.8
28.6,34,42,59
34.8,41.5,45.9,58.1
29.9,36.1,46.4,59
38.5,45.6,54.5,54.7
51,57.4,66.7,59.4
59,63.3,75.1,64.4
69.9,73.1,81,69.2
71.7,79.8,82.7,74.2
68.1,78.4,78.1,70.8
56.2,65.4,67.8,68.8
47.5,55.1,59.3,65.9
40.1,49.6,50.8,63.6
31.2,42.4,40.5,57.3
24.5,38.7,36,54.5
33,29,44.8,57.5
44.5,45.1,54.5,60
45,51.4,58.7,60.1
55.4,65.5,66.3,62.1
64.7,73.7,77,64.8
72.1,76.9,78.8,69.9
72.6,77.4,80.9,71.3
63.4,70.6,75.7,68.3
52.6,63.4,65.4,66.3
41.2,46.2,50.8,61.5
27.3,37.8,42.9,55.8
26.7,35.4,40.1,55.9
32.7,37.1,49.7,56.8
